code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
300576,容大感光,0.26,0.0,,7.36,,3115.66,0.11,,10-30
002552,宝鼎科技,0.08,-900.0,,4.21,,2518.94,-831.98,,10-30
600323,瀚蓝环境,0.97,36.62,,13.67,,74370.96,36.3,,10-30
300609,汇纳科技,0.39,18.09,,7.99,,3931.82,19.13,,10-30
002600,领益智造,-0.05,-150.0,,-3.59,,-35186.81,-252.62,,10-30
603619,中曼石油,0.19,-79.57,,3.04,,7753.74,-77.0,,10-30
600387,海越能源,0.62,-513.33,,11.83,,29079.94,-594.79,,10-30
000998,隆平高科,0.06,-51.84,,1.29,,7723.2,-51.86,,10-30
601890,亚星锚链,-0.01,-115.06,,-0.17,,-509.56,-115.1,,10-30
300335,迪森股份,0.41,-9.42,,11.4,,14895.93,-8.79,,10-30
002010,传化智联,0.12,71.43,,3.49,,40443.55,69.71,,10-30
603685,晨丰科技,0.54,-54.24,,7.63,,7022.02,-20.7,,10-30
000587,金洲慈航,-0.08,-123.53,,-1.8,,-16841.46,-123.12,,10-30
600073,上海梅林,0.32,0.94,,8.2,,30202.56,0.82,,10-30
603709,中源家居,0.65,-30.85,,10.4,,4876.31,-13.62,,10-30
600463,空港股份,-0.02,-107.65,,-0.32,,-451.09,-107.67,,10-30
600090,同济堂,0.28,0.0,,6.69,,40280.15,0.18,,10-30
300385,雪浪环境,0.38,2.13,,4.38,,4929.16,10.75,,10-30
002364,中恒电气,0.16,14.29,,3.84,,8904.14,10.78,,10-30
002686,亿利达,0.17,-27.92,,5.02,,7685.94,-27.18,,10-30
002058,威尔泰,0.01,-152.63,,0.64,,119.36,-154.61,,10-30
603797,联泰环保,0.27,12.5,,5.43,,5672.6,27.1,,10-30
600863,内蒙华电,0.09,12.5,,4.99,,53788.03,10.86,,10-30
600522,中天科技,0.53,11.7,,8.87,,163361.83,13.54,,10-30
002412,汉森制药,0.29,30.33,,6.84,,8636.19,30.33,,10-30
300449,汉邦高科,0.19,1800.0,,2.35,,3150.47,1882.88,,10-30
603888,新华网,0.34,1.85,,6.22,,17443.22,2.11,,10-30
300465,高伟达,0.06,100.0,,2.24,,2477.53,118.3,,10-30
603917,合力科技,0.43,-32.22,,7.86,,6740.52,26.51,,10-30
002139,拓邦股份,0.2,-23.08,,9.45,,19441.71,12.7,,10-30
002460,赣锋锂业,1.01,-25.19,,24.66,,110653.17,10.26,,10-30
603959,百利科技,0.29,11.54,,9.04,,9058.02,55.43,,10-30
600596,新安股份,1.65,390.38,,23.04,,116570.75,403.19,,10-30
002789,建艺集团,0.57,-35.23,,6.52,,7856.16,9.43,,10-30
000767,漳泽电力,0.06,-119.48,,2.6,,19017.8,-119.48,,10-30
300174,元力股份,0.34,149.41,,13.68,,8328.45,149.47,,10-30
600218,全柴动力,0.1,-45.05,,1.91,,3671.23,-45.26,,10-30
600235,民丰特纸,0.05,20.0,,1.47,,1889.95,18.78,,10-30
002492,恒基达鑫,0.13,6.82,,4.25,,5199.04,6.76,,10-30
600633,浙数文化,0.31,-74.25,,5.03,,39958.46,-74.25,,10-30
002824,和胜股份,0.14,-58.82,,3.47,,2596.8,-46.0,,10-30
603661,恒林股份,1.28,-41.28,,5.81,,12807.44,-21.7,,10-30
600058,五矿发展,-0.37,-1133.89,,-5.41,,-39568.36,-1133.93,,10-30
